relevance,doc_type_ai,doc_type_pages,page_count,doi,plant_host,fungal_taxon,tissue,presence_absence,primary_guild,interaction_notes,biome,country,data_source,source_file,doc_type_ai_clean,paper_id,interaction_id,fungal_taxon_raw,fungal_taxon_resolved,fungal_taxon_status,fungal_taxon_resolution_method,fungal_taxon_confidence,fungal_taxon_accepted_ids,plant_host_raw,plant_host_resolved,plant_host_status,plant_host_resolution_method,plant_host_confidence,plant_host_accepted_ids
Relevant,abstract,abstract,0,10.1007/bf03041434,cucumis sativus (cucumber),cladosporium cucumerinum,NA,present,pathogenic,resistance to triforine observed after uv irradiation and selection of resistant strains.,greenhouse,dutch (based on the publishing organization),abstract-csv,doi_10.1007_bf03041434,Abstract,doi:10.1007/bf03041434,int_be47b8d313850d03,cladosporium cucumerinum,cladosporium cucumerinum,Resolved,exact_accepted,1.00,2620564,cucumis sativus (cucumber),cucumis sativus,Resolved,exact_accepted,1.00,2874569
Relevant,abstract,abstract,0,10.1093/oxfordjournals.aob.a084575,aesculus indica colebr.,endogone sp.,root,present,mycorrhizal,nodules develop without any fungal stimulus but are occupied by endogone in nature. typical endogone infection was synthesized when endogone spores were added to the autoclaved sand.,NA,NA,abstract-csv,doi_10.1093_oxfordjournals.aob.a084575,Abstract,doi:10.1093/oxfordjournals.aob.a084575,int_e860e0385b0b9062,endogone sp.,endogone,Resolved,exact_accepted,1.00,2559270,aesculus indica colebr.,aesculus indica,Resolved,exact_accepted,1.00,8566446
Relevant,abstract,abstract,0,10.1007/bf01976639,lycopersicon esculentum (tomato),NA,NA,present,pathogenic,isolated from tomatoes under glass in the netherlands,agricultural (glasshouse),netherlands,abstract-csv,doi_10.1007_bf01976639,Abstract,doi:10.1007/bf01976639,int_d6056f4bcb72a872,NA,,Unresolved,none,0.00,,lycopersicon esculentum (tomato),solanum lycopersicum,Resolved,synonym_map,0.95,2930137
Relevant,abstract,abstract,0,10.1111/j.1744-7348.1976.tb00590.x,fragaria x ananassa (strawberry),verticillium dahliae,soil,present,pathogenic,"""the text describes the strawberry plant as being affected by verticillium dahliae; suggesting a pathogenic interaction.""",NA,NA,abstract-csv,doi_10.1111_j.1744-7348.1976.tb00590.x,Abstract,doi:10.1111/j.1744-7348.1976.tb00590.x,int_4ff8da0d299cd717,verticillium dahliae,verticillium dahliae,Resolved,exact_accepted,1.00,2569149,fragaria x ananassa (strawberry),fragaria ananassa,Resolved,exact_accepted,1.00,3029912
Relevant,abstract,abstract,0,10.1111/j.1744-7348.1974.tb01503.x,hordeum vulgare cv. zephyr (barley),puccinia hordei,leaf,present,pathogenic,"""interaction noted as affecting development and severity of both pathogens on the same leaf; with pre-inoculation reducing the development of the other.""",agricultural field,not specified,abstract-csv,doi_10.1111_j.1744-7348.1974.tb01503.x,Abstract,doi:10.1111/j.1744-7348.1974.tb01503.x,int_5924d064de373174,puccinia hordei,puccinia hordei,Resolved,exact_accepted,1.00,2515318,hordeum vulgare cv. zephyr (barley),hordeum vulgare,Resolved,exact_accepted,1.00,2706056
Relevant,abstract,abstract,0,10.1111/j.1744-7348.1974.tb01503.x,hordeum vulgare cv. zephyr (barley),erysiphe graminis,leaf,present,pathogenic,"""interaction noted as affecting development and severity of both pathogens on the same leaf; with pre-inoculation reducing the development of the other.""",agricultural field,not specified,abstract-csv,doi_10.1111_j.1744-7348.1974.tb01503.x,Abstract,doi:10.1111/j.1744-7348.1974.tb01503.x,int_d4c02e683705e9b2,erysiphe graminis,blumeria graminis,Resolved,synonym_map,0.95,2578272,hordeum vulgare cv. zephyr (barley),hordeum vulgare,Resolved,exact_accepted,1.00,2706056
Relevant,abstract,abstract,0,10.1007/bf01981496,cyclamen spp.,botrytis cinerea,not specified,present,pathogenic,isolated from cyclamen that had been sprayed with benlate (benomyl),NA,not specified,abstract-csv,doi_10.1007_bf01981496,Abstract,doi:10.1007/bf01981496,int_3db2bb89edcc4867,botrytis cinerea,botrytis cinerea,Resolved,exact_accepted,1.00,2583139,cyclamen spp.,cyclamen,Resolved,exact_accepted,1.00,3169314
Relevant,abstract,abstract,0,10.1071/ch9742261,triticum aestivum (wheat),erysiphe graminis,root,present,pathogenic,applied to plant roots as a fungicide against wheat mildew.,not_specified,not_specified,abstract-csv,doi_10.1071_ch9742261,Abstract,doi:10.1071/ch9742261,int_9f67798074a1ba94,erysiphe graminis,blumeria graminis,Resolved,synonym_map,0.95,2578272,triticum aestivum (wheat),triticum aestivum,Resolved,exact_accepted,1.00,7795888
Relevant,abstract,abstract,0,10.1007/bf01976954,not specified,schimmels,NA,present,pathogenic,mentioned in literature but no specific context provided,not specified,netherlands,abstract-csv,doi_10.1007_bf01976954,Abstract,doi:10.1007/bf01976954,int_4d0fb80e7239a1de,schimmels,,Unresolved,no_match,0.00,,not specified,,Unresolved,none,0.00,
Relevant,abstract,abstract,0,10.1016/0048-3575(75)90058-9,unknown,ustilago maydis,NA,present,pathogenic (for ustilago maydis and cryptococcus laurentii),"""systemically active fungicide; inhibits mitochondrial succinic dehydrogenase complex""",NA,NA,abstract-csv,doi_10.1016_0048-3575(75)90058-9,Abstract,doi:10.1016/0048-3575(75)90058-9,int_6006c787a0915a66,ustilago maydis,ustilago maydis,Resolved,exact_accepted,1.00,8092646,unknown,,Unresolved,none,0.00,
Relevant,abstract,abstract,0,10.1016/0048-3575(75)90058-9,unknown,cryptococcus laurentii,NA,present,pathogenic (for ustilago maydis and cryptococcus laurentii),"""systemically active fungicide; inhibits mitochondrial succinic dehydrogenase complex""",NA,NA,abstract-csv,doi_10.1016_0048-3575(75)90058-9,Abstract,doi:10.1016/0048-3575(75)90058-9,int_3b668f14957db11a,cryptococcus laurentii,papiliotrema laurentii,Resolved,synonym_map,0.95,9646747,unknown,,Unresolved,none,0.00,
Relevant,abstract,abstract,0,10.1111/j.1365-3059.1972.tb01745.x,aphis gossypii,cephalosporium aphidicola,implicitly plant surface,present,pathogenic (to aphids),"""inhibition of fungal development observed in vitro; not on individuals feeding on treated cucumber plants""",implicitly greenhouse or controlled environment,not specified,abstract-csv,doi_10.1111_j.1365-3059.1972.tb01745.x,Abstract,doi:10.1111/j.1365-3059.1972.tb01745.x,int_09e3f1660c287ed0,cephalosporium aphidicola,cephalosporium aphidicola,Resolved,exact_accepted,1.00,3302722,aphis gossypii,,Unresolved,no_match,0.00,
Relevant,abstract,abstract,0,10.1002/ps.2780050302,not_mentioned,not_mentioned,protoplast,present,pathogenic,"""study investigates the effects of tridemorph on fungi; focusing on mycelial growth inhibition and potential protein synthesis interference""",not_mentioned,not_mentioned,abstract-csv,doi_10.1002_ps.2780050302,Abstract,doi:10.1002/ps.2780050302,int_7e6853922a8b3390,not_mentioned,,Unresolved,empty,0.00,,not_mentioned,,Unresolved,empty,0.00,
Relevant,abstract,abstract,0,10.1111/j.1365-2338.1973.tb02093.x,phaseolus vulgaris (beans),benomyl,seed,present,systemic fungicide,seed treatment results in important passage of benomyl through the teguments.,NA,NA,abstract-csv,doi_10.1111_j.1365-2338.1973.tb02093.x,Abstract,doi:10.1111/j.1365-2338.1973.tb02093.x,int_218e395037158380,benomyl,,Unresolved,no_match,0.00,,phaseolus vulgaris (beans),phaseolus vulgaris,Resolved,exact_accepted,1.00,5350452
Relevant,full-text,full-text,13,10.1038/231332a0,acer pseudoplatanus,aureobasidium pullulans,leaf,present,unknown,isolated from surface-sterilized leaves,not specified,not specified,full-text,doi_10.1038_231332a0,Full-Text,doi:10.1038/231332a0,int_e39be2552e01d1da,aureobasidium pullulans,aureobasidium pullulans,Resolved,exact_accepted,1.00,3524384,acer pseudoplatanus,acer pseudoplatanus,Resolved,exact_accepted,1.00,3189870
Relevant,full-text,full-text,13,10.1038/231332a0,acer pseudoplatanus,cladosporium herbarum,leaf,present,unknown,isolated from surface-sterilized leaves,not specified,not specified,full-text,doi_10.1038_231332a0,Full-Text,doi:10.1038/231332a0,int_339bf1e87d95285d,cladosporium herbarum,cladosporium herbarum,Resolved,exact_accepted,1.00,2620585,acer pseudoplatanus,acer pseudoplatanus,Resolved,exact_accepted,1.00,3189870
Relevant,full-text,full-text,13,10.1038/231332a0,acer pseudoplatanus,epicoccum nigrum,leaf,present,unknown,isolated from surface-sterilized leaves,not specified,not specified,full-text,doi_10.1038_231332a0,Full-Text,doi:10.1038/231332a0,int_a2d21c4b850fa7a6,epicoccum nigrum,epicoccum nigrum,Resolved,exact_accepted,1.00,2617206,acer pseudoplatanus,acer pseudoplatanus,Resolved,exact_accepted,1.00,3189870
Relevant,abstract,abstract,0,10.1017/s0014479700005330,cucumis sativus (cucumber),oidium sp.,surface of cucumber,present,pathogenic,caused powdery mildew disease on cucumbers,NA,NA,abstract-csv,doi_10.1017_s0014479700005330,Abstract,doi:10.1017/s0014479700005330,int_22d747d0c4300770,oidium sp.,oidium,Resolved,exact_accepted,1.00,7975765,cucumis sativus (cucumber),cucumis sativus,Resolved,exact_accepted,1.00,2874569
Uncertain,abstract,abstract,0,10.1021/jf60188a048,no plant host mentioned,no fungus mentioned,NA,present,not applicable,NA,NA,NA,abstract-csv,doi_10.1021_jf60188a048,Abstract,doi:10.1021/jf60188a048,int_c277895618abc7b6,no fungus mentioned,,Unresolved,no_match,0.00,,no plant host mentioned,,Unresolved,no_match,0.00,
Relevant,abstract,abstract,0,10.1111/j.1365-2338.1973.tb02094.x,sphaerotheca fuliginea (schlecht.) salm.,rhizoctonia solani kühn.,not specified,present,pathogenic,isolated from plant in field trials,agricultural,netherlands,abstract-csv,doi_10.1111_j.1365-2338.1973.tb02094.x,Abstract,doi:10.1111/j.1365-2338.1973.tb02094.x,int_900e5c0e672ac010,rhizoctonia solani kühn.,rhizoctonia solani,Resolved,exact_accepted,1.00,2555201,sphaerotheca fuliginea (schlecht.) salm.,podosphaera fuliginea,Resolved,synonym_map,0.95,5255357
Relevant,abstract,abstract,0,10.1111/j.1744-7348.1973.tb07301.x,malus domestica (apple,podosphaera leucotricha,not specified,present,pathogenic,fungus causing powdery mildew on apple cultivars,not specified,not specified,abstract-csv,doi_10.1111_j.1744-7348.1973.tb07301.x,Abstract,doi:10.1111/j.1744-7348.1973.tb07301.x,int_2e84cba8f50da74f,podosphaera leucotricha,podosphaera leucotricha,Resolved,exact_accepted,1.00,5255338,malus domestica (apple,malus domestica,Resolved,exact_accepted,1.00,3001244
Relevant,abstract,abstract,0,10.1111/j.1744-7348.1973.tb07301.x,specifically cox's orange pippin,podosphaera leucotricha,not specified,present,pathogenic,fungus causing powdery mildew on apple cultivars,not specified,not specified,abstract-csv,doi_10.1111_j.1744-7348.1973.tb07301.x,Abstract,doi:10.1111/j.1744-7348.1973.tb07301.x,int_896d3715cfab9199,podosphaera leucotricha,podosphaera leucotricha,Resolved,exact_accepted,1.00,5255338,specifically cox's orange pippin,,Unresolved,no_match,0.00,
Relevant,abstract,abstract,0,10.1111/j.1744-7348.1973.tb07301.x,golden delicious and jonathan),podosphaera leucotricha,not specified,present,pathogenic,fungus causing powdery mildew on apple cultivars,not specified,not specified,abstract-csv,doi_10.1111_j.1744-7348.1973.tb07301.x,Abstract,doi:10.1111/j.1744-7348.1973.tb07301.x,int_7778306c98acaef9,podosphaera leucotricha,podosphaera leucotricha,Resolved,exact_accepted,1.00,5255338,golden delicious and jonathan),,Unresolved,no_match,0.00,
Relevant,abstract,abstract,0,10.1016/0048-4059(75)90088-0,trifolium (clover),vesicular-arbuscular mycorrhizal fungi,root organ cultures,present,mycorrhizal,infections formed in root organ cultures grown on a modified white's agar medium and liquid culture. pre-germinated spores were used as inoculum.,NA,NA,abstract-csv,doi_10.1016_0048-4059(75)90088-0,Abstract,doi:10.1016/0048-4059(75)90088-0,int_728c7bce889f638a,vesicular-arbuscular mycorrhizal fungi,glomeromycota,Resolved,alias_exact_accepted,1.00,18,trifolium (clover),trifolium,Resolved,exact_accepted,1.00,2973363
Relevant,abstract,abstract,0,10.1111/j.1744-7348.1975.tb01531.x,rosa spp.,oidium rosae,leaf,present,pathogenic,"""the text describes the presence of oidium rosae (powdery mildew) on rosa spp. as a pathogen; but no specific extraction method or interaction notes are provided.""",NA,NA,abstract-csv,doi_10.1111_j.1744-7348.1975.tb01531.x,Abstract,doi:10.1111/j.1744-7348.1975.tb01531.x,int_c25ce3d49441b896,oidium rosae,,Unresolved,no_match,0.00,,rosa spp.,rosa,Resolved,exact_accepted,1.00,8395064
Relevant,abstract,abstract,0,10.1080/00288233.1975.10421059,grasses,acaulospora laevis,roots,present,mycorrhizal,soil-borne spores and vegetative hyphae identification,not specified,new zealand,abstract-csv,doi_10.1080_00288233.1975.10421059,Abstract,doi:10.1080/00288233.1975.10421059,int_b6299ab0de98a287,acaulospora laevis,acaulospora laevis,Resolved,exact_accepted,1.00,2560113,grasses,poaceae,Resolved,alias_exact_accepted,1.00,3073
Relevant,abstract,abstract,0,10.1080/00288233.1975.10421059,grasses,glomus fasciculatus,roots,present,mycorrhizal,soil-borne spores and vegetative hyphae identification,not specified,new zealand,abstract-csv,doi_10.1080_00288233.1975.10421059,Abstract,doi:10.1080/00288233.1975.10421059,int_14bf13005d3e221f,glomus fasciculatus,,Unresolved,no_match,0.00,,grasses,poaceae,Resolved,alias_exact_accepted,1.00,3073
Relevant,abstract,abstract,0,10.1080/00288233.1975.10421059,grasses,rhizophagus tenuis,roots,present,mycorrhizal,soil-borne spores and vegetative hyphae identification,not specified,new zealand,abstract-csv,doi_10.1080_00288233.1975.10421059,Abstract,doi:10.1080/00288233.1975.10421059,int_3551378eac23d62a,rhizophagus tenuis,planticonsortium tenue,Resolved,synonym_map,0.95,10776626,grasses,poaceae,Resolved,alias_exact_accepted,1.00,3073
Relevant,abstract,abstract,0,10.1080/00288233.1975.10421059,legumes,acaulospora laevis,roots,present,mycorrhizal,soil-borne spores and vegetative hyphae identification,not specified,new zealand,abstract-csv,doi_10.1080_00288233.1975.10421059,Abstract,doi:10.1080/00288233.1975.10421059,int_3fbbbd7dfc7e2216,acaulospora laevis,acaulospora laevis,Resolved,exact_accepted,1.00,2560113,legumes,fabaceae,Resolved,alias_exact_accepted,1.00,5386
Relevant,abstract,abstract,0,10.1080/00288233.1975.10421059,legumes,glomus fasciculatus,roots,present,mycorrhizal,soil-borne spores and vegetative hyphae identification,not specified,new zealand,abstract-csv,doi_10.1080_00288233.1975.10421059,Abstract,doi:10.1080/00288233.1975.10421059,int_71f852539f4970fc,glomus fasciculatus,,Unresolved,no_match,0.00,,legumes,fabaceae,Resolved,alias_exact_accepted,1.00,5386
Relevant,abstract,abstract,0,10.1080/00288233.1975.10421059,legumes,rhizophagus tenuis,roots,present,mycorrhizal,soil-borne spores and vegetative hyphae identification,not specified,new zealand,abstract-csv,doi_10.1080_00288233.1975.10421059,Abstract,doi:10.1080/00288233.1975.10421059,int_640a2286edc849ce,rhizophagus tenuis,planticonsortium tenue,Resolved,synonym_map,0.95,10776626,legumes,fabaceae,Resolved,alias_exact_accepted,1.00,5386
Relevant,abstract,abstract,0,10.1016/0013-9327(75)90069-5,not specified,NA,not specified,present,unknown,"""mention of the presence of disease; but no specific fungal species is identified.""",agricultural regions of new jersey,united states,abstract-csv,doi_10.1016_0013-9327(75)90069-5,Abstract,doi:10.1016/0013-9327(75)90069-5,int_92a3fcb55b57196f,NA,,Unresolved,none,0.00,,not specified,,Unresolved,none,0.00,
Relevant,abstract,abstract,0,10.1080/09670877209413455,not specified in the text,powdery mildews,"""aerial tissues",leaves,"roots""","present; pathogenic; ""the compounds are used to control diseases; do not appear to depend on modifying the host plant""",NA,NA,abstract-csv,doi_10.1080_09670877209413455,Abstract,doi:10.1080/09670877209413455,int_8387ab3c32aca7de,powdery mildews,,Unresolved,no_match,0.00,,not specified in the text,,Unresolved,empty,0.00,
Relevant,abstract,abstract,0,10.1111/j.1469-8137.1974.tb02142.x,grasses and nearly all the dicotyledonous plants (not specified in full),vesicular-arbuscular mycorrhizal fungi,root,present,mycorrhizal,"""infecting roots; mixed infections present in some plants""",coal waste tips in scotland,scotland,abstract-csv,doi_10.1111_j.1469-8137.1974.tb02142.x,Abstract,doi:10.1111/j.1469-8137.1974.tb02142.x,int_51d8272f0d40a042,vesicular-arbuscular mycorrhizal fungi,glomeromycota,Resolved,alias_exact_accepted,1.00,18,grasses and nearly all the dicotyledonous plants (not specified in full),poaceae,Partially_Resolved,alias_exact_accepted; no_match,0.50,3073
Relevant,abstract,abstract,0,10.1111/j.1469-8137.1974.tb02142.x,grasses and nearly all the dicotyledonous plants (not specified in full),endogone spp.,root,present,mycorrhizal,"""infecting roots; mixed infections present in some plants""",coal waste tips in scotland,scotland,abstract-csv,doi_10.1111_j.1469-8137.1974.tb02142.x,Abstract,doi:10.1111/j.1469-8137.1974.tb02142.x,int_436c383482e2c1b8,endogone spp.,endogone,Resolved,exact_accepted,1.00,2559270,grasses and nearly all the dicotyledonous plants (not specified in full),poaceae,Partially_Resolved,alias_exact_accepted; no_match,0.50,3073
Relevant,abstract,abstract,0,10.1007/bf00032749,brassica oleracea var. botrytis (cauliflower),NA,curd portion,present,unknown,"""not directly stated; but the text implies a potential interaction due to grafting.""",agricultural,unspecified,abstract-csv,doi_10.1007_bf00032749,Abstract,doi:10.1007/bf00032749,int_cf26dd60959e24f4,NA,,Unresolved,none,0.00,,brassica oleracea var. botrytis (cauliflower),brassica oleracea,Resolved,exact_accepted,1.00,3042845
Relevant,abstract,abstract,0,10.1080/00022470.1972.10469707,phaseolus vulgaris l (pinto beans),NA,leaf,present,unknown,"""experiment involving chemical protectants to reduce ozone injury; not natural plant-fungus interaction""",not specified,not specified,abstract-csv,doi_10.1080_00022470.1972.10469707,Abstract,doi:10.1080/00022470.1972.10469707,int_4bae73083b20e870,NA,,Unresolved,none,0.00,,phaseolus vulgaris l (pinto beans),phaseolus vulgaris,Resolved,exact_accepted,1.00,5350452
Relevant,abstract,abstract,0,10.1080/0028825x.1977.10432553,leptospermum scoparium,vesicular-arbuscular mycorrhizas,shoot,present,endophytic,"""infected the host plant; stimulated p uptake but did not always supply the full p requirements of the host. presence remained even when high shoot p concentrations were achieved by applying p."";","""te anau","new zealand""",abstract-csv,doi_10.1080_0028825x.1977.10432553,Abstract,doi:10.1080/0028825x.1977.10432553,int_d04e02135d239cf6,vesicular-arbuscular mycorrhizas,,Unresolved,no_match,0.00,,leptospermum scoparium,leptospermum scoparium,Resolved,exact_accepted,1.00,3181762
Uncertain,abstract,abstract,0,10.1111/j.1365-2338.1973.tb02092.x,NA,NA,NA,present,NA,no specific plant-fungus interaction described,NA,NA,abstract-csv,doi_10.1111_j.1365-2338.1973.tb02092.x,Abstract,doi:10.1111/j.1365-2338.1973.tb02092.x,int_264b2e14337525f1,NA,,Unresolved,none,0.00,,NA,,Unresolved,none,0.00,
Relevant,abstract,abstract,0,10.1111/j.1744-7348.1972.tb04709.x,triticum aestivum (wheat),erysiphe graminis,root,present,pathogenic,"""controlled by the compound n?(2; 2; 2?trichloro?1?methoxyethyl)?formamide when applied to the roots in sand.""",not-specified,not-specified,abstract-csv,doi_10.1111_j.1744-7348.1972.tb04709.x,Abstract,doi:10.1111/j.1744-7348.1972.tb04709.x,int_609dc1fe028dadc3,erysiphe graminis,blumeria graminis,Resolved,synonym_map,0.95,2578272,triticum aestivum (wheat),triticum aestivum,Resolved,exact_accepted,1.00,7795888
Relevant,abstract,abstract,0,10.1139/m76-009,populus x euramericana (yellow poplar),glomeromycota sp.,root,present,mycorrhizal,involved in arbuscule deterioration and nutrient release,not provided,not provided,abstract-csv,doi_10.1139_m76-009,Abstract,doi:10.1139/m76-009,int_7c1cb561b0a31a4c,glomeromycota sp.,glomeromycota,Resolved,exact_accepted,1.00,18,populus x euramericana (yellow poplar),populus canadensis,Resolved,synonym_map,0.95,8190077
Relevant,abstract,full-text,7,10.1626/jcs.44.178,arabidopsis thaliana (thale cress),fusarium oxysporum f. sp. thaliana,root,present,pathogenic,isolated from root tissues of arabidopsis thaliana.,NA,NA,full-text,doi_10.1626_jcs.44.178,Abstract,doi:10.1626/jcs.44.178,int_df69842d50e19b29,fusarium oxysporum f. sp. thaliana,fusarium oxysporum,Resolved,exact_accepted,1.00,5251961,arabidopsis thaliana (thale cress),arabidopsis thaliana,Resolved,exact_accepted,1.00,3052436
Relevant,abstract,abstract,0,10.1002/ps.2780070103,trifolium repens (white clover),rhizobium trifolii,root nodules,present,mutualistic,"""symbiotic nitrogen fixation affected by some fungicides (thiram; oxycarboxin; ethylan cp); but unchanged by others.""",not specified,not specified,abstract-csv,doi_10.1002_ps.2780070103,Abstract,doi:10.1002/ps.2780070103,int_68ebe8df547ed6df,rhizobium trifolii,,Unresolved,no_match,0.00,,trifolium repens (white clover),trifolium repens,Resolved,exact_accepted,1.00,5358748
Relevant,abstract,abstract,0,10.1071/bt9610057,pernettya macrostigma (epacridaceae),unspecified ericales endophyte,root,present,endophytic,isolated from the host and successfully back inoculated under controlled conditions.,not specified,new zealand,abstract-csv,doi_10.1071_bt9610057,Abstract,doi:10.1071/bt9610057,int_3e854a21302524dc,unspecified ericales endophyte,,Unresolved,no_match,0.00,,pernettya macrostigma (epacridaceae),gaultheria macrostigma,Resolved,synonym_map,0.95,4170804
